raMean,decMean,rMeanPSFMag
236.42364411,28.4396786,-999.0
236.42683863,28.43915741,21.872499465942383
236.42862703,28.43333938,20.85689926147461
236.42966299,28.43381684,21.97369956970215
236.43068144,28.43906466,-999.0
236.43625135,28.43282561,-999.0
236.43865228,28.43358869,-999.0
236.44707265,28.4385437,16.427099227905273
236.45100784,28.43662448,21.389999389648438
236.45860748,28.44012571,-999.0
236.46067849,28.4389701,21.623699188232422
236.46076475,28.43938143,21.6737003326416
236.35348362,28.12846337,21.78890037536621
236.35444643,28.12565227,-999.0
236.36011856,28.12634664,19.10689926147461
236.52354317,28.12755507,-999.0
236.52407667,28.13018188,-999.0
236.52414717,28.13055816,-999.0
236.52638431,28.12932986,-999.0
236.529089,28.13072555,-999.0
236.3661554,28.1251726,-999.0
236.36641171,28.12745863,-999.0
236.36727836,28.1307643,17.981000900268555
236.36777588,28.1253773,-999.0
236.36999289,28.12608336,-999.0
236.37411253,28.12617678,21.44700050354004
236.37555631,28.12464367,-999.0
236.37900931,28.13028347,21.083599090576172
236.38145205,28.12920049,-999.0
236.76342981,27.95728661,21.649499893188477
236.765717-999.0,-999.0,-999.0,-999.0
122871877026011277,187.70253784,12.39234062,62,13,12,16,10,11,16.941699981689453,15.38860034942627,15.329899787902832,15.768099784851074,16.933799743652344
122871877062551436,187.70622365,12.39236505,2,0,0,0,0,2,-999.0,-999.0,-999.0,-999.0,15.110199928283691
122871877063310741,187.70630472,12.39182315,3,0,2,0,1,0,-999.0,14.422900199890137,-999.0,14.42490005493164,-999.0
122871877068858435,187.70691585,12.39827062,7,3,1,2,1,0,18.659099578857422,17.865100860595703,17.777599334716797,17.939199447631836,-999.0
122871877075050430,187.70747912,12.3915839,2,0,0,0,2,0,-999.0,-999.0,-999.0,15.575200080871582,-999.0
122881876951360506,187.69529229,12.40011853,2,0,0,1,0,1,-999.0,-999.0,19.29360008239746,-999.0,17.78030014038086
122881877085143466,187.7084996,12.40240408,37,9,11,7,7,3,18.826099395751953,18.006799697875977,17.76689910888672,17.875099182128906,17.68120002746582
122881877095525205,187.70951703,12.40389466,2,0,0,2,0,0,-999.0,-999.0,18.8612003326416,-999.0,-999.0
122881877105204765,187.71049731,12.4035168,2,0,0,2,0,0,-999.0,-999.0,19.13680076599121,-999.0,-999.0
122881877112164157,187.71126262,12.40316813,2,0,0,2,0,0,-999.0,-999.0,19.040800094604492,-999.0,-999.0
00177001953
236.5026722,28.34031817,20.813400268554688
236.51393768,28.3368361,18.922000885009766
236.66068847,28.32284574,-999.0
236.66124465,28.32243015,21.962799072265625
236.66346542,28.32001927,21.51289939880371
236.66372339,28.32032543,-999.0
236.66451914,28.32262435,21.04829978942871
236.6646689,28.32277877,-999.0
236.66711954,28.32267342,22.066200256347656
236.67224611,28.31769722,-999.0
236.67835492,28.32345649,17.736000061035156
236.68162928,28.32081394,21.232799530029297
236.68191416,28.32095322,21.22570037841797
236.6821033,28.32104864,-999.0
236.69146302,28.32014753,-999.0
236.69633593,28.32108572,20.245500564575195
236.69652797,28.32121904,-999.0
236.69771079,28.32052321,-999.0
236.70134216,28.31936276,22.378799438476562
236.70271684,28.32227111,22.138099670410156
236.70652517,28.32014821,20.123899459838867
236.70897428,28.3190751,22.13629913330078
236.71110887,28.31648087,-999.0
236.85324252,27.97046125,20.251800537109375
236.85715183,27.96954809,19.765899658203125
236.73651789,27.99847423,-999.0
236.73687365,27.99869066,-999.0
236.74129546,27.99787796,21.74650001525879
236.7429251,27.99365027,17.91819953918457
236.76325603,27.99120361,-999.0
236.76412508,27.99790375,19.731599807739258
236.76450799,27.99272399,-999.0
236.76626228,27.99579386,-999.0
236.77069582,27.99231792,21.560199737548828
236.77114009,27.9964812,15.31820011138916
236.77291648,27.9924284,21.93829917907715
236.77524418,27.99346075,-999.0
236.77933518,27.99268971,-999.0
236.78972567,27.99579196,21.21619987487793
236.79027966,27.99462559,-999.0
236.7906599,27.99738817,21.286800384521484
236.79233925,27.99904419,21.89859962463379
236.79342351,27.99443587,20.424299240112305
236.79360044,27.99206116,-999.0
236.79529571,27.9937854,17.54290008544922
236.79571365,27.99717947,-999.0
236.79579763,27.99695048,21.16550064086914
235.99111843,28.07231273,21.291400909423828
235.99149962,28.07022586,22.05739974975586
235.99815509,28.06761628,-999.0
235.99866539,28.06844113,-999.0
235.99972978,28.06780257,19.87470054626465
236.00060064,28.06937952,-999.0
236.00246203,28.07162855,22.930400848388672
236.00405037,28.07243376,21.647600173950195
236.00779669,28.06683767,-999.0
236.01235249,28.06772247,21.624000549316406
236.13172889,28.00711378,21.842300415039062
236.132893,28.00517255,-999.0
236.13513487,28.00125435,21.94860076904297
236.14017903,28.00412147,20.93429946899414
236.14042342,28.00005956,-999.0
236.14809841,28.00622778,-999.0
236.15348599,28.00397885,20.86400032043457
236.1562587,28.00045365,-999.0
236.15664857,28.00643564,-999.0
236.15867492,28.00759375,20.720800399780273
236.16504435,28.00755913,21.93950080871582
236.16876431,28.00551752,21.96299934387207
236.18193079,28.00199338,-999.0
236.18428345,28.00101827,20.067699432373047
236.19699209,28.0019958,21.022199630737305
236.19870301,28.00364509,20.638500213623047
236.06769675,28.28084903,-999.0
236.08374678,28.28161238,21.51129913330078
236.08823078,28.27723113,21.779300689697266
236.08851621,28.27706882,-999.0
236.09002612,28.27917727,-999.0
236.09077006,28.27918229,-999.0
236.09322985,28.27801469,-999.0
236.10027011,28.27795869,19.304899215698242
236.10216802,28.27566006,-999.0
236.10213031,28.27834609,21.753299713134766
236.10270104,28.28207648,18.27589988708496
236.10309744,28.27930961,-999.0
236.10896493,28.28212183,-999.0
236.1130094,28.27986531,21.387399673461914
236.11349337,28.28041953,19.356700897216797
236.1138086,28.28056565,-999.0
236.12222633,28.27508911,-999.0
