objID raMean decMean nDetections ng nr ni nz ny gMeanPSFMag rMeanPSFMag iMeanPSFMag zMeanPSFMag yMeanPSFMag
122871876895386298 187.68949348 12.39653024 3 0 1 2 0 0 -999.0 -999.0 -999.0 -999.0 -999.0
122871876919213480 187.69190755 12.3941628 12 4 3 4 1 0 19.456600189208984 18.375699996948242 18.3346004486084 -999.0 -999.0
122871876925340070 187.69247065 12.39128192 6 2 1 2 1 0 19.327600479125977 19.017099380493164 19.563199996948242 19.243799209594727 -999.0
122871876845779196 187.68456252 12.39888945 3 0 0 2 1 0 -999.0 -999.0 20.510299682617188 19.934999465942383 -999.0
122871876856574675 187.68566123 12.39513602 2 1 0 0 0 1 20.82069969177246 -999.0 -999.0 -999.0 19.679399490356445
122881877151178400 187.71509377 12.40654487 4 2 1 0 0 1 20.26460075378418 -999.0 -999.0 -999.0 -999.0
122881877159868979 187.71600557 12.40708211 2 0 0 0 2 0 -999.0 -999.0 -999.0 18.935199737548828 -999.0
122881877171064296 187.71710618 12.40313179 45 5 11 8 11 10 19.564199447631836 18.21739959716797 18.185699462890625 18.470199584960938 18.22130012512207
122881877198218150 187.71980301 12.40633268 49 9 14 13 9 4 19.7539005279541 19.23539924621582 18.494400024414062 18.694799423217773 18.57670021057129
122881877206945620 187.72067312 12.40420341 3 0 2 0 1 0 -999.0 -999.0 -999.0 -999.0 -999.0
122881877207876355 187.72078753 12.40488642 2 1 0 1 0 0 -999.0 -999.0 -999.0 -999.0 -999.0
122881877213019275 187.72130805 12.40726946 3 1 0 2 0 0 -999.0 -999.0 -999.0 -999.0 -999.0
122851876845878009 187.68447031 12.38129875 3 0 0 2 1 0 -999.0 -999.0 20.12619972229004 19.491199493408203 -999.0
122851876846580236 187.6846492 12.37473426 3 0 0 3 0 0 -999.0 -999.0 20.406999588012695 -999.0 -999.0
122851876964093848 187.69632719 12.37779575 38 9 8 11 6 4 19.543899536132812 19.22879981994629 18.627599716186523 18.723100662231445 18.27630043029785
122851876992204797 187.69931786 12.37853338 10 3 2 4 1 0 21.27899932861328 -999.0 18.61389923095703 18.489900588989258 -999.0
122851877008084336 187.70080125 12.37828064 15 3 2 5 5 0 21.162900924682617 -999.0 18.75429916381836 18.438899993896484 -999.0
122851877018527082 187.70183167 12.38053514 5 2 2 1 0 0 20.314599990844727 -999.0 18.168699264526367 -999.0 -999.0
122851877049294726 187.70495239 12.37851452 7 2 2 2 1 0 19.03059959411621 18.453699111938477 18.576099395751953 -999.0 -999.0
122851877054541495 187.70541259 12.37585802 16 3 3 7 3 0 20.02120018005371 18.109500885009766 18.40329933166504 18.420000076293945 -999.0
122851877062673559 187.70624956 12.37754834 7 1 2 3 0 1 20.520999908447266 18.906299591064453 18.96269989013672 -999.0 18.142099380493164
122851877090477761 187.70902824 12.38101615 29 6 7 11 5 0 19.74679946899414 17.7460994720459 17.491500854492188 17.622100830078125 -999.0
122851877096718451 187.70969564 12.38158628 2 1 0 1 0 0 20.573400497436523 -999.0 -999.0 -999.0 -999.0
122851877109888891 187.71098809 12.38200012 2 0 0 2 0 0 -999.0 -999.0 -999.0 -999.0 -999.0
122851877115528846 187.71134341 12.38181909 2 1 1 0 0 0 23.352399826049805 17.3302001953125 -999.0 -999.0 -999.0
122851877124637737 187.71246077 12.38100609 50 9 10 15 9 7 19.32469940185547 18.029600143432617 17.798799514770508 17.930400848388672 17.508899688720703
122851877161507704 187.71606953 12.381017 6 0 2 2 1 1 -999.0 18.5039005279541 18.485300064086914 -999.0 18.553300857543945
122851877171601818 187.71713162 12.37607344 2 1 0 0 0 1 19.747400283813477 -999.0 -999.0 -999.0 17.3218994140625
122871876860744396 187.68607986 12.39467548 6 1 0 4 1 0 -999.0 -999.0 19.947200775146484 -999.0 -999.0
122871876861340070 187.68617687 12.39135864 42 10 6 15 6 5 19.933799743652344 19.47209930419922 18.82819938659668 18.761600494384766 18.312400817871094
122871876861930463 187.68616185 12.39148031 2 0 1 1 0 0 -999.0 19.082500457763672 -999.0 -999.0 -999.0
122871876862043718 187.68619734 12.39429761 2 0 0 1 1 0 -999.0 -999.0 20.063600540161133 18.50480079650879 -999.0
122871876867192495 187.68664951 12.39331985 2 2 0 0 0 0 18.787700653076172 -999.0 -999.0 -999.0 -999.0
122871876941435711 187.6940799 12.3959326 4 0 1 2 1 0 -999.0 -999.0 19.009199142456055 19.183900833129883 -999.0
122871876945758919 187.69449749 12.39870483 2 0 1 1 0 0 -999.0 20.872100830078125 19.60379981994629 -999.0 -999.0
122871876946391889 187.6946297 12.39284071 2 0 2 0 0 0 -999.0 17.64929962158203 -999.0 -999.0 -999.0
122871876951258032 187.69498862 12.39809102 2 1 0 0 0 1 -999.0 -999.0 -999.0 -999.0 17.250600814819336
122871877012582071 187.70130031 12.39292937 3 2 0 0 0 1 17.394800186157227 -999.0 -999.0 -999.0 -999.0
122871877026011277 187.70253784 12.39234062 62 13 12 16 10 11 16.941699981689453 15.38860034942627 15.329899787902832 15.768099784851074 16.933799743652344
122871877062551436 187.70622365 12.39236505 2 0 0 0 0 2 -999.0 -999.0 -999.0 -999.0 15.110199928283691
122871877063310741 187.70630472 12.39182315 3 0 2 0 1 0 -999.0 14.422900199890137 -999.0 14.42490005493164 -999.0
122871877068858435 187.70691585 12.39827062 7 3 1 2 1 0 18.659099578857422 17.865100860595703 17.777599334716797 17.939199447631836 -999.0
122871877075050430 187.70747912 12.3915839 2 0 0 0 2 0 -999.0 -999.0 -999.0 15.575200080871582 -999.0
122871877190298915 187.7190047 12.39863414 25 5 6 6 6 2 19.576000213623047 18.666000366210938 18.50629997253418 18.54599952697754 18.805200576782227
122871877194249039 187.71940156 12.3987737 2 0 0 1 0 1 -999.0 -999.0 19.342500686645508 -999.0 16.398399353027344
122871877207356745 187.72070154 12.39674458 6 0 0 4 1 1 -999.0 -999.0 18.575000762939453 -999.0 19.179399490356445
122871877212342950 187.72121229 12.39368546 8 0 2 4 2 0 -999.0 18.651100158691406 18.64699935913086 18.743499755859375 -999.0
